Project;Date;Source;Target
bootstrap;21.12.2014;Bootstrap's Grunt bot;bootstrap/dist/css/bootstrap.min.css
bootstrap;20.12.2014;Gleb Mazovetskiy;bootstrap/scss/_variables.scss
bootstrap;19.12.2014;Chris Rebert;bootstrap/docs/migration.md
bootstrap;19.12.2014;Chris Rebert;bootstrap/docs/migration.md
bootstrap;19.12.2014;Chris Rebert;bootstrap/docs/migration.md
bootstrap;19.12.2014;Chris Rebert;bootstrap/docs/migration.md
bootstrap;19.12.2014;Chris Rebert;bootstrap/docs/migration.md
bootstrap;19.12.2014;Chris Rebert;bootstrap/docs/migration.md
bootstrap;19.12.2014;Chris Rebert;bootstrap/docs/migration.md
bootstrap;19.12.2014;Chris Rebert;bootstrap/docs/migration.md
bootstrap;19.12.2014;Chris Rebert;bootstrap/docs/migration.md
bootstrap;19.12.2014;Chris Rebert;bootstrap/docs/migration.md
bootstrap;19.12.2014;Chris Rebert;bootstrap/docs/migration.md
bootstrap;19.12.2014;Chris Rebert;bootstrap/docs/migration.md
bootstrap;19.12.2014;Chris Rebert;bootstrap/docs/migration.md
bootstrap;19.12.2014;Chris Rebert;bootstrap/docs/migration.md
bootstrap;19.12.2014;Chris Rebert;bootstrap/docs/migration.md
bootstrap;19.12.2014;Chris Rebert;bootstrap/scss/_dropdown.scss
bootstrap;19.12.2014;Chris Rebert;bootstrap/scss/_navbar.scss
bootstrap;19.12.2014;Chris Rebert;bootstrap/scss/_tooltip.scss
bootstrap;19.12.2014;Chris Rebert;bootstrap/scss/_type.scss
bootstrap;20.12.2014;Bootstrap's Grunt bot;bootstrap/dist/css/bootstrap.css.map
bootstrap;19.12.2014;Chris Rebert;bootstrap/less/popovers.less
bootstrap;19.12.2014;Chris Rebert;bootstrap/less/tooltip.less
bootstrap;15.12.2014;Chris Rebert;bootstrap/Gruntfile.js
bootstrap;19.12.2014;Chris Rebert;bootstrap/docs/_data/browser-bugs.yml
bootstrap;19.12.2014;Mark Otto;bootstrap/docs/assets/css/docs.min.css
