Id,Label,size,modularity_class,organization,clustering,triangles,degree,color,Size,Color
130,illinois,1,4,illinois,1,3,3,"#BFBFBF",10,"#bfbfbf"
131,Brainscode,1,1,Brainscode,714286,65,14,"#BFBFBF",10,"#bfbfbf"
133,infineon,1,4,infineon,1,6,4,"#BFBFBF",10,"#bfbfbf"
135,Alum,1,1,Alum,645276,362,34,"#BFBFBF",10,"#bfbfbf"
137,ravelin,1,1,ravelin,1,15,6,"#BFBFBF",10,"#bfbfbf"
138,Orga,1,4,Orga,964286,27,8,"#BFBFBF",10,"#bfbfbf"
139,minds,1,1,minds,772308,251,26,"#BFBFBF",10,"#bfbfbf"
141,systrangroup,1,1,systrangroup,889474,169,20,"#BFBFBF",10,"#bfbfbf"
142,tcl,1,1,tcl,955556,43,10,"#BFBFBF",10,"#bfbfbf"
143,adobe,1,1,adobe,1,78,13,"#BFBFBF",10,"#bfbfbf"
144,brainscode,1,4,brainscode,727273,48,12,"#BFBFBF",10,"#bfbfbf"
146,scortex,1,1,scortex,897436,70,13,"#BFBFBF",10,"#bfbfbf"
147,uvic,1,1,uvic,1,136,17,"#BFBFBF",10,"#bfbfbf"
149,instadeep,1,1,instadeep,1,36,9,"#BFBFBF",10,"#bfbfbf"
150,psiori,1,4,psiori,1,3,3,"#BFBFBF",10,"#bfbfbf"
151,kikatech,1,4,kikatech,8,12,6,"#BFBFBF",10,"#bfbfbf"
153,inailuig,1,4,inailuig,1,28,8,"#BFBFBF",10,"#bfbfbf"
154,ornl,1,4,ornl,1,10,5,"#BFBFBF",10,"#bfbfbf"
155,goinc,1,4,goinc,928571,26,8,"#BFBFBF",10,"#bfbfbf"
157,soton,1,1,soton,952381,100,15,"#BFBFBF",10,"#bfbfbf"
158,eyedea,1,4,eyedea,1,6,4,"#BFBFBF",10,"#bfbfbf"
162,pho,1,1,pho,972222,35,9,"#BFBFBF",10,"#bfbfbf"
163,uni-mainz,1,4,uni-mainz,1,6,4,"#BFBFBF",10,"#bfbfbf"
164,picsart,1,4,picsart,1,3,3,"#BFBFBF",10,"#bfbfbf"
168,tutanota,1,4,tutanota,1,10,5,"#BFBFBF",10,"#bfbfbf"
169,Artec-group,1,4,Artec-group,933333,14,6,"#BFBFBF",10,"#bfbfbf"
170,exaleapsemi,1,4,exaleapsemi,0,0,1,"#BFBFBF",10,"#bfbfbf"
171,hi,1,1,hi,1,10,5,"#BFBFBF",10,"#bfbfbf"
172,peritiae,1,1,peritiae,1,120,16,"#BFBFBF",10,"#bfbfbf"
173,xmos,1,1,xmos,1,10,5,"#BFBFBF",10,"#bfbfbf"
176,ucm,1,4,ucm,1,6,4,"#BFBFBF",10,"#bfbfbf"
178,juliacomputing,1,4,juliacomputing,911765,124,17,"#BFBFBF",10,"#bfbfbf"
179,tu-dortmund,1,4,tu-dortmund,1,15,6,"#BFBFBF",10,"#bfbfbf"
180,getcruise,1,1,getcruise,888889,32,9,"#BFBFBF",10,"#bfbfbf"
182,transcendrobotics,1,1,transcendrobotics,933333,14,6,"#BFBFBF",10,"#bfbfbf"
184,snyk,1,1,snyk,833333,5,4,"#BFBFBF",10,"#bfbfbf"
185,lambdal,1,1,lambdal,878788,58,12,"#BFBFBF",10,"#bfbfbf"
186,uwo,1,4,uwo,1,10,5,"#BFBFBF",10,"#bfbfbf"
187,jobcase,1,4,jobcase,1,3,3,"#BFBFBF",10,"#bfbfbf"
188,nationalchip,1,1,nationalchip,1,10,5,"#BFBFBF",10,"#bfbfbf"
190,apple,1,1,apple,941667,113,16,"#BFBFBF",10,"#bfbfbf"
191,motorola,1,4,motorola,1,6,4,"#BFBFBF",10,"#bfbfbf"
193,hotmail,1,4,hotmail,1,10,5,"#BFBFBF",10,"#bfbfbf"
194,revealtech,1,4,revealtech,1,1,2,"#BFBFBF",10,"#bfbfbf"
197,sunoru,1,4,sunoru,1,15,6,"#BFBFBF",10,"#bfbfbf"
198,yahoo,1,1,yahoo,1,28,8,"#BFBFBF",10,"#bfbfbf"
199,stripe,1,1,stripe,1,10,5,"#BFBFBF",10,"#bfbfbf"
200,northvolt,1,1,northvolt,1,36,9,"#BFBFBF",10,"#bfbfbf"
201,primatelabs,1,4,primatelabs,1,1,2,"#BFBFBF",10,"#bfbfbf"
202,kuaishou,1,4,kuaishou,1,6,4,"#BFBFBF",10,"#bfbfbf"
203,jhu,1,1,jhu,861111,31,9,"#BFBFBF",10,"#bfbfbf"
204,Intellecti,1,4,Intellecti,928571,26,8,"#BFBFBF",10,"#bfbfbf"
205,b1-systems,1,4,b1-systems,1,3,3,"#BFBFBF",10,"#bfbfbf"
206,suse,1,1,suse,1,91,14,"#BFBFBF",10,"#bfbfbf"
207,goilluminate,1,4,goilluminate,1,1,2,"#BFBFBF",10,"#bfbfbf"
208,dcc,1,1,dcc,1,3,3,"#BFBFBF",10,"#bfbfbf"
209,mxc,1,1,mxc,1,136,17,"#BFBFBF",10,"#bfbfbf"
210,Appliedbrainresearch,1,4,Appliedbrainresearch,848485,56,12,"#BFBFBF",10,"#bfbfbf"
211,duke,1,4,duke,909091,60,12,"#BFBFBF",10,"#bfbfbf"
212,buaa,1,4,buaa,1,15,6,"#BFBFBF",10,"#bfbfbf"
213,hodesdon,1,4,hodesdon,1,1,2,"#BFBFBF",10,"#bfbfbf"
214,caicloud,1,1,caicloud,1,10,5,"#BFBFBF",10,"#bfbfbf"
215,xldrx,1,4,xldrx,1,28,8,"#BFBFBF",10,"#bfbfbf"
217,ksindi,1,1,ksindi,1,21,7,"#BFBFBF",10,"#bfbfbf"
218,patsnap,1,4,patsnap,1,6,4,"#BFBFBF",10,"#bfbfbf"
219,itseez3d,1,1,itseez3d,1,36,9,"#BFBFBF",10,"#bfbfbf"
221,Allenai,1,1,Allenai,1,15,6,"#BFBFBF",10,"#bfbfbf"
222,coursera,1,1,coursera,1,10,5,"#BFBFBF",10,"#bfbfbf"
223,purdue,1,1,purdue,933333,14,6,"#BFBFBF",10,"#bfbfbf"
224,Arterys,1,1,Arterys,1,21,7,"#BFBFBF",10,"#bfbfbf"
227,snapchat,1,4,snapchat,1,1,2,"#BFBFBF",10,"#bfbfbf"
228,sifive,1,4,sifive,1,3,3,"#BFBFBF",10,"#bfbfbf"
229,xanadu,1,4,xanadu,0,0,1,"#BFBFBF",10,"#bfbfbf"
231,metu,1,1,metu,1,21,7,"#BFBFBF",10,"#bfbfbf"
232,Agentic,1,4,Agentic,0,0,1,"#BFBFBF",10,"#bfbfbf"
233,supremetech,1,4,supremetech,0,0,1,"#BFBFBF",10,"#bfbfbf"
235,engflow,1,1,engflow,1,78,13,"#BFBFBF",10,"#bfbfbf"
236,windriver,1,1,windriver,1,3,3,"#BFBFBF",10,"#bfbfbf"
237,poly-ai,1,1,poly-ai,1,10,5,"#BFBFBF",10,"#bfbfbf"
238,collabora,1,4,collabora,0,0,1,"#BFBFBF",10,"#bfbfbf"
239,sony,1,1,sony,1,28,8,"#BFBFBF",10,"#bfbfbf"
240,instacart,1,1,instacart,1,3,3,"#BFBFBF",10,"#bfbfbf"
241,ibexinnovations,1,4,ibexinnovations,1,1,2,"#BFBFBF",10,"#bfbfbf"
242,mercateo,1,4,mercateo,1,15,6,"#BFBFBF",10,"#bfbfbf"
243,Baylibre,1,4,Baylibre,1,1,2,"#BFBFBF",10,"#bfbfbf"
244,scu,1,4,scu,1,3,3,"#BFBFBF",10,"#bfbfbf"
245,unibap,1,4,unibap,1,1,2,"#BFBFBF",10,"#bfbfbf"
246,sicara,1,1,sicara,1,3,3,"#BFBFBF",10,"#bfbfbf"
247,habana,1,4,habana,933333,14,6,"#BFBFBF",10,"#bfbfbf"
248,Acm,1,1,Acm,1,136,17,"#BFBFBF",10,"#bfbfbf"
249,D2iQ,1,4,D2iQ,0,0,1,"#BFBFBF",10,"#bfbfbf"
251,victech,1,4,victech,1,3,3,"#BFBFBF",10,"#bfbfbf"
252,turation,1,4,turation,1,1,2,"#BFBFBF",10,"#bfbfbf"
253,dalim,1,1,dalim,1,36,9,"#BFBFBF",10,"#bfbfbf"
254,wdc,1,1,wdc,1,15,6,"#BFBFBF",10,"#bfbfbf"
255,mercury,1,4,mercury,933333,14,6,"#BFBFBF",10,"#bfbfbf"
256,nuro,1,1,nuro,1,10,5,"#BFBFBF",10,"#bfbfbf"
257,realityengines,1,4,realityengines,1,10,5,"#BFBFBF",10,"#bfbfbf"
258,wealthsimple,1,1,wealthsimple,1,45,10,"#BFBFBF",10,"#bfbfbf"
259,polytechnique,1,4,polytechnique,1,15,6,"#BFBFBF",10,"#bfbfbf"
260,ict,1,4,ict,1,10,5,"#BFBFBF",10,"#bfbfbf"
261,xiaomi,1,1,xiaomi,1,3,3,"#BFBFBF",10,"#bfbfbf"
262,umn,1,4,umn,0,0,1,"#BFBFBF",10,"#bfbfbf"
263,gtc,1,1,gtc,1,10,5,"#BFBFBF",10,"#bfbfbf"
