Source,Target,Type,Id,Label,Weight,size,Color
77,177,Undirected,585,,54,2,"#999999"
9,102,Undirected,586,,5586,352,"#999999"
77,188,Undirected,587,,13,1,"#999999"
9,181,Undirected,588,,225,94,"#999999"
77,187,Undirected,589,,16,1,"#999999"
77,204,Undirected,590,,31,1,"#999999"
77,186,Undirected,591,,126,1,"#999999"
77,167,Undirected,592,,132,3,"#999999"
77,185,Undirected,593,,48,3,"#999999"
78,81,Undirected,594,,322,1,"#999999"
77,184,Undirected,595,,3,1,"#999999"
9,220,Undirected,596,,1247,170,"#999999"
77,180,Undirected,597,,35,1,"#999999"
77,179,Undirected,598,,304,1,"#999999"
77,178,Undirected,599,,1011,2,"#999999"
77,176,Undirected,600,,15,1,"#999999"
77,172,Undirected,601,,844,3,"#999999"
77,171,Undirected,602,,12,1,"#999999"
77,169,Undirected,603,,72,1,"#999999"
77,168,Undirected,604,,16,1,"#999999"
77,120,Undirected,605,,270,5,"#999999"
77,272,Undirected,606,,5,2,"#999999"
77,164,Undirected,607,,884,1,"#999999"
77,163,Undirected,608,,22,2,"#999999"
78,265,Undirected,609,,2,1,"#999999"
77,162,Undirected,610,,129,1,"#999999"
77,302,Undirected,611,,50,2,"#999999"
77,104,Undirected,612,,114,3,"#999999"
77,158,Undirected,613,,43,1,"#999999"
77,157,Undirected,614,,181,3,"#999999"
77,155,Undirected,615,,41,1,"#999999"
77,154,Undirected,616,,25,1,"#999999"
77,153,Undirected,617,,286,1,"#999999"
77,327,Undirected,618,,19,2,"#999999"
77,151,Undirected,619,,358,1,"#999999"
77,295,Undirected,620,,3,1,"#999999"
77,273,Undirected,621,,2,1,"#999999"
77,150,Undirected,622,,210,1,"#999999"
77,148,Undirected,623,,251,3,"#999999"
77,149,Undirected,624,,139,3,"#999999"
77,147,Undirected,625,,1542,3,"#999999"
77,146,Undirected,626,,90,1,"#999999"
77,128,Undirected,627,,166,2,"#999999"
77,136,Undirected,628,,391,2,"#999999"
77,144,Undirected,629,,179,3,"#999999"
77,109,Undirected,630,,39651,4,"#999999"
77,143,Undirected,631,,459,1,"#999999"
77,142,Undirected,632,,317,1,"#999999"
77,141,Undirected,633,,343,3,"#999999"
77,139,Undirected,634,,2181,3,"#999999"
77,138,Undirected,635,,361,1,"#999999"
77,137,Undirected,636,,54,1,"#999999"
77,135,Undirected,637,,4060,4,"#999999"
77,133,Undirected,638,,593,1,"#999999"
77,131,Undirected,639,,89,3,"#999999"
77,130,Undirected,640,,204,1,"#999999"
77,129,Undirected,641,,82,1,"#999999"
77,127,Undirected,642,,518,3,"#999999"
77,290,Undirected,643,,2722,1,"#999999"
77,257,Undirected,644,,29,1,"#999999"
9,235,Undirected,645,,292,63,"#999999"
9,234,Undirected,646,,312,71,"#999999"
9,112,Undirected,647,,1882,221,"#999999"
78,156,Undirected,648,,10,1,"#999999"
77,265,Undirected,649,,9,1,"#999999"
77,126,Undirected,650,,98,1,"#999999"
77,125,Undirected,651,,38,1,"#999999"
77,121,Undirected,652,,292,1,"#999999"
77,218,Undirected,653,,87,1,"#999999"
77,119,Undirected,654,,490,2,"#999999"
77,221,Undirected,655,,28,1,"#999999"
77,118,Undirected,656,,420,3,"#999999"
77,117,Undirected,657,,211,3,"#999999"
77,116,Undirected,658,,200,1,"#999999"
77,115,Undirected,659,,394,3,"#999999"
77,113,Undirected,660,,66,1,"#999999"
77,112,Undirected,661,,1008,3,"#999999"
9,92,Undirected,662,,7316,55,"#999999"
9,190,Undirected,663,,603,97,"#999999"
78,223,Undirected,664,,2,1,"#999999"
77,108,Undirected,665,,5,1,"#999999"
77,88,Undirected,666,,3031,6,"#999999"
77,105,Undirected,667,,19,1,"#999999"
77,103,Undirected,668,,906,3,"#999999"
77,102,Undirected,669,,2143,3,"#999999"
77,200,Undirected,670,,112,1,"#999999"
9,139,Undirected,671,,4719,328,"#999999"
77,100,Undirected,672,,1200,1,"#999999"
77,98,Undirected,673,,1336,3,"#999999"
77,76,Undirected,674,,2518,3,"#999999"
9,156,Undirected,675,,260,67,"#999999"
77,203,Undirected,676,,33,1,"#999999"
77,89,Undirected,677,,2514,3,"#999999"
77,96,Undirected,678,,1134,3,"#999999"
77,95,Undirected,679,,1925,3,"#999999"
78,76,Undirected,680,,101,1,"#999999"
77,293,Undirected,681,,54,1,"#999999"
77,323,Undirected,682,,7,2,"#999999"
77,228,Undirected,683,,1,1,"#999999"
77,94,Undirected,684,,3607,3,"#999999"
77,92,Undirected,685,,438,1,"#999999"
77,90,Undirected,686,,91,1,"#999999"
78,112,Undirected,687,,34,1,"#999999"
77,219,Undirected,688,,48,1,"#999999"
77,87,Undirected,689,,11421,3,"#999999"
9,109,Undirected,690,,103147,799,"#999999"
77,101,Undirected,691,,1737,2,"#999999"
77,207,Undirected,692,,2,1,"#999999"
78,118,Undirected,693,,7,1,"#999999"
77,275,Undirected,694,,10,1,"#999999"
78,180,Undirected,695,,1,1,"#999999"
77,81,Undirected,696,,12412,4,"#999999"
78,179,Undirected,697,,16,1,"#999999"
77,201,Undirected,698,,16,1,"#999999"
78,17,Undirected,699,,1,1,"#999999"
77,182,Undirected,700,,47,3,"#999999"
77,202,Undirected,701,,21,1,"#999999"
77,241,Undirected,702,,1,1,"#999999"
9,160,Undirected,703,,730,89,"#999999"
